DB  11 , 11 , 11 , 11 , 00 , 00 , 00 , 00 , 00 , 00 , 00 , 00 , 00 , 11 , 11 , 11 , 11 , 11 , 11 , 11
DB  11 , 11 , 11 , 11 , 00 , 00 , 00 , 00 , 00 , 00 , 00 , 00 , 00 , 11 , 11 , 11 , 11 , 11 , 11 , 11
DB  11 , 00 , 00 , 00 , 00 , 00 , 00 , 00 , 00 , 00 , 00 , 00 , 00 , 00 , 11 , 11 , 11 , 11 , 11 , 11
DB  00 , 12 , 12 , 00 , 00 , 00 , 00 , 12 , 00 , 00 , 00 , 00 , 00 , 12 , 00 , 11 , 11 , 11 , 11 , 11
DB  00 , 12 , 12 , 00 , 00 , 00 , 00 , 12 , 00 , 00 , 00 , 00 , 00 , 12 , 00 , 11 , 11 , 11 , 11 , 11
DB  00 , 12 , 12 , 12 , 00 , 00 , 12 , 12 , 12 , 12 , 00 , 12 , 12 , 12 , 00 , 11 , 11 , 11 , 11 , 11
DB  00 , 12 , 12 , 12 , 12 , 12 , 12 , 12 , 12 , 12 , 12 , 12 , 12 , 12 , 00 , 11 , 11 , 11 , 11 , 11
DB  11 , 00 , 00 , 14 , 14 , 14 , 14 , 00 , 00 , 00 , 00 , 00 , 00 , 00 , 00 , 11 , 11 , 11 , 11 , 11
DB  11 , 00 , 00 , 14 , 14 , 14 , 14 , 00 , 00 , 00 , 00 , 00 , 00 , 00 , 00 , 11 , 11 , 11 , 11 , 11
DB  11 , 00 , 00 , 14 , 00 , 00 , 14 , 00 , 14 , 14 , 00 , 00 , 00 , 00 , 11 , 11 , 11 , 11 , 11 , 11
DB  11 , 00 , 00 , 14 , 00 , 00 , 14 , 14 , 14 , 14 , 12 , 12 , 12 , 00 , 11 , 11 , 11 , 11 , 11 , 11
DB  11 , 00 , 00 , 14 , 14 , 14 , 14 , 14 , 12 , 12 , 12 , 12 , 12 , 00 , 11 , 11 , 11 , 11 , 11 , 11
DB  11 , 00 , 00 , 14 , 14 , 14 , 14 , 14 , 12 , 12 , 12 , 12 , 12 , 00 , 11 , 11 , 11 , 11 , 11 , 11
DB  11 , 00 , 00 , 12 , 12 , 12 , 12 , 12 , 12 , 12 , 12 , 12 , 12 , 12 , 00 , 11 , 11 , 11 , 11 , 11
DB  11 , 11 , 11 , 00 , 00 , 00 , 12 , 12 , 12 , 12 , 12 , 12 , 12 , 12 , 12 , 00 , 00 , 11 , 11 , 11
DB  11 , 11 , 11 , 00 , 00 , 00 , 12 , 12 , 12 , 12 , 12 , 12 , 12 , 12 , 12 , 00 , 00 , 11 , 11 , 11
DB  11 , 11 , 11 , 00 , 12 , 12 , 00 , 00 , 00 , 00 , 12 , 12 , 12 , 12 , 12 , 00 , 00 , 11 , 11 , 11
DB  11 , 11 , 11 , 11 , 00 , 00 , 00 , 00 , 00 , 00 , 14 , 14 , 14 , 12 , 12 , 12 , 12 , 00 , 11 , 11
DB  11 , 11 , 11 , 11 , 11 , 11 , 00 , 00 , 00 , 00 , 14 , 14 , 14 , 12 , 12 , 12 , 12 , 00 , 11 , 11
DB  11 , 11 , 11 , 11 , 11 , 11 , 00 , 00 , 00 , 00 , 00 , 00 , 00 , 12 , 12 , 12 , 12 , 00 , 11 , 11
DB  11 , 11 , 11 , 11 , 00 , 00 , 12 , 12 , 12 , 12 , 12 , 00 , 00 , 00 , 12 , 12 , 12 , 12 , 00 , 00
DB  11 , 11 , 11 , 11 , 11 , 11 , 00 , 00 , 00 , 00 , 00 , 11 , 11 , 11 , 00 , 00 , 00 , 12 , 12 , 00
DB  11 , 11 , 11 , 11 , 11 , 11 , 00 , 00 , 00 , 00 , 00 , 11 , 11 , 11 , 00 , 00 , 00 , 00 , 00 , 00
